Age,Work_Experience,Family_Size,Gender,Ever_Married,Graduated,Profession,Spending_Score,Var_1,Segmentation
-1.2846234388296902,-0.49989223055775395,0.7579474191867407,1,0,0,5,2,3,3
-0.3271508185366849,0.537953746379099,0.09609494196975443,0,1,1,2,0,3,0
1.4082683057443872,-0.49989223055775395,-1.227610012464218,0,1,1,2,2,5,1
1.4082683057443872,-0.8051410473038871,-0.5657575352472318,1,1,1,7,1,5,1
-0.2074667410000592,1.4537001966174985,2.081652373620713,0,1,1,3,1,5,0
0.7500058792929462,-0.8051410473038871,-0.5657575352472318,1,1,0,0,0,5,2
-0.6862030511465619,-0.49989223055775395,0.09609494196975443,1,0,1,5,2,5,2
-0.626361012378249,-0.49989223055775395,0.09609494196975443,0,0,1,5,2,5,3
1.0492160731345104,-0.8051410473038871,0.09609494196975443,0,1,1,2,2,6,3
0.6901638405246333,-0.49989223055775395,0.7579474191867407,0,1,1,0,0,5,2
-1.0452552837564388,-0.49989223055775395,0.09609494196975443,0,0,1,2,2,5,0
-1.4641495551346286,0.4158542196806456,0.7579474191867407,1,0,0,5,2,3,3
-1.4641495551346286,-0.8051410473038871,0.7579474191867407,0,0,0,4,2,2,3
1.5877944220493259,-0.5609419939069806,-1.227610012464218,1,1,0,7,2,5,0
0.8696899568295718,-0.8051410473038871,-1.227610012464218,0,1,0,1,2,2,1
-0.14762470223174637,-0.49989223055775395,-0.5657575352472318,0,0,0,5,2,0,2
-0.6862030511465619,1.9420983034113115,1.4197998964037268,0,0,0,6,2,2,3
-0.7460450899148747,-0.49989223055775395,2.081652373620713,1,0,0,5,2,5,1
0.8696899568295718,-0.49989223055775395,0.7579474191867407,1,1,1,3,0,5,1
2.1263727709641413,-0.8051410473038871,-1.227610012464218,0,1,1,0,1,5,2
0.3311116079147563,2.857844753649711,-1.227610012464218,1,1,1,6,2,2,0
-1.5239915939029416,0.11060540293451242,0.7579474191867407,0,0,0,5,2,5,3
-0.626361012378249,3.1630935703958443,-0.5657575352472318,1,1,1,0,2,2,0
-0.44683489607331056,0.7211030364267788,-0.5657575352472318,0,0,1,0,2,5,1
0.8696899568295718,-0.49989223055775395,0.09609494196975443,0,1,0,4,0,2,1
0.7500058792929462,-0.49989223055775395,0.09609494196975443,1,1,0,0,0,5,2
-0.7460450899148747,1.9420983034113115,3.4053573280546856,1,0,0,5,2,3,0
0.3311116079147563,-0.49989223055775395,0.09609494196975443,1,1,1,0,0,5,2
-0.5066769348416233,-0.8051410473038871,-1.227610012464218,1,0,1,0,2,5,1
-0.5066769348416233,0.7211030364267788,0.7579474191867407,0,0,0,0,2,5,2
0.09174345284150495,-0.8051410473038871,0.09609494196975443,0,1,1,0,2,5,2
-0.08778266346343355,-0.49989223055775395,-0.5657575352472318,0,1,0,1,2,3,0
-1.4641495551346286,-0.49989223055775395,0.09609494196975443,1,0,0,5,2,1,3
-1.0452552837564388,1.9420983034113115,0.22846543741315178,1,0,0,6,2,5,3
2.3657409260373927,-0.49989223055775395,-0.5657575352472318,0,1,0,7,1,5,3
-0.9854132449881261,0.11060540293451242,0.7579474191867407,0,0,1,5,2,0,3
-0.6862030511465619,0.7211030364267788,-1.227610012464218,1,0,0,1,2,3,3
-0.9255712062198133,-0.49989223055775395,1.4197998964037268,0,1,0,5,0,2,3
-0.9255712062198133,1.6368494866651784,-0.5657575352472318,0,1,1,0,2,5,0
0.7500058792929462,-0.6830415206054339,-0.5657575352472318,1,1,1,0,0,5,2
0.2114275303781306,0.4158542196806456,-1.227610012464218,0,0,1,0,2,5,1
